Tool;Scenario;Model;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Fulib;test;minimal;0;0;Load;Time;81219700
Fulib;test;minimal;0;0;Load;Memory;14680064
Fulib;test;minimal;0;0;Initial;Time;8546600
Fulib;test;minimal;0;0;Initial;Memory;8388608
Fulib;test;minimal;0;1;Update;Time;1672300
Fulib;test;minimal;0;1;Update;Memory;8388608
Fulib;test;minimal;0;2;Update;Time;1555000
Fulib;test;minimal;0;2;Update;Memory;8388608
Fulib;test;minimal;0;3;Update;Time;190300
Fulib;test;minimal;0;3;Update;Memory;8388608
Fulib;test;minimal;0;4;Update;Time;184300
Fulib;test;minimal;0;4;Update;Memory;8388608
Fulib;test;minimal;0;5;Update;Time;165400
Fulib;test;minimal;0;5;Update;Memory;8388608
Fulib;test;minimal;0;6;Update;Time;171000
Fulib;test;minimal;0;6;Update;Memory;8388608
Fulib;test;minimal;0;7;Update;Time;254000
Fulib;test;minimal;0;7;Update;Memory;8388608
Fulib;test;minimal;0;8;Update;Time;181000
Fulib;test;minimal;0;8;Update;Memory;8388608
Fulib;scale_samples;1;0;0;Load;Time;4729900
Fulib;scale_samples;1;0;0;Load;Memory;8388608
Fulib;scale_samples;1;0;0;Initial;Time;523500
Fulib;scale_samples;1;0;0;Initial;Memory;8388608
Fulib;scale_samples;1;0;1;Update;Time;155900
Fulib;scale_samples;1;0;1;Update;Memory;8388608
Fulib;scale_samples;1;0;2;Update;Time;102800
Fulib;scale_samples;1;0;2;Update;Memory;8388608
Fulib;scale_samples;1;0;3;Update;Time;198200
Fulib;scale_samples;1;0;3;Update;Memory;8388608
Fulib;scale_samples;1;0;4;Update;Time;126400
Fulib;scale_samples;1;0;4;Update;Memory;8388608
Fulib;scale_samples;1;0;5;Update;Time;122600
Fulib;scale_samples;1;0;5;Update;Memory;8388608
Fulib;scale_samples;1;0;6;Update;Time;99300
Fulib;scale_samples;1;0;6;Update;Memory;8388608
Fulib;scale_samples;1;0;7;Update;Time;134500
Fulib;scale_samples;1;0;7;Update;Memory;8388608
Fulib;scale_samples;1;0;8;Update;Time;102100
Fulib;scale_samples;1;0;8;Update;Memory;8388608
Fulib;scale_samples;2;0;0;Load;Time;3427400
Fulib;scale_samples;2;0;0;Load;Memory;8388608
Fulib;scale_samples;2;0;0;Initial;Time;430800
Fulib;scale_samples;2;0;0;Initial;Memory;8388608
Fulib;scale_samples;2;0;1;Update;Time;199200
Fulib;scale_samples;2;0;1;Update;Memory;8388608
Fulib;scale_samples;2;0;2;Update;Time;149000
Fulib;scale_samples;2;0;2;Update;Memory;8388608
Fulib;scale_samples;2;0;3;Update;Time;229000
Fulib;scale_samples;2;0;3;Update;Memory;8388608
Fulib;scale_samples;2;0;4;Update;Time;146000
Fulib;scale_samples;2;0;4;Update;Memory;8388608
Fulib;scale_samples;2;0;5;Update;Time;148100
Fulib;scale_samples;2;0;5;Update;Memory;8388608
Fulib;scale_samples;2;0;6;Update;Time;151000
Fulib;scale_samples;2;0;6;Update;Memory;8388608
Fulib;scale_samples;2;0;7;Update;Time;169900
Fulib;scale_samples;2;0;7;Update;Memory;8388608
Fulib;scale_samples;2;0;8;Update;Time;132600
Fulib;scale_samples;2;0;8;Update;Memory;8388608
Fulib;scale_samples;4;0;0;Load;Time;3547000
