Tool;Scenario;Model;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Reference;scale_samples;1;0;0;Initialization;Time;467133900
Reference;scale_samples;1;0;0;Initialization;Memory;38088704
Reference;scale_samples;1;0;0;Load;Time;16782800
Reference;scale_samples;1;0;0;Load;Memory;38764544
Reference;scale_samples;1;0;0;Initial;Time;37091500
Reference;scale_samples;1;0;0;Initial;Memory;39329792
Reference;scale_samples;1;0;1;Update;Time;3955600
Reference;scale_samples;1;0;1;Update;Memory;40062976
Reference;scale_samples;1;0;2;Update;Time;321000
Reference;scale_samples;1;0;2;Update;Memory;40083456
Reference;scale_samples;1;0;3;Update;Time;234500
Reference;scale_samples;1;0;3;Update;Memory;40083456
Reference;scale_samples;1;0;4;Update;Time;70000
Reference;scale_samples;1;0;4;Update;Memory;40083456
Reference;scale_samples;1;0;5;Update;Time;65600
Reference;scale_samples;1;0;5;Update;Memory;40083456
Reference;scale_samples;1;0;6;Update;Time;39500
Reference;scale_samples;1;0;6;Update;Memory;40083456
Reference;scale_samples;1;0;7;Update;Time;36000
Reference;scale_samples;1;0;7;Update;Memory;40083456
Reference;scale_samples;1;0;8;Update;Time;46000
Reference;scale_samples;1;0;8;Update;Memory;40083456
Reference;scale_samples;1;0;0;Initial;Elements;37
Reference;scale_samples;1;0;0;Initial;ActiveSamples;8
Reference;scale_samples;1;0;1;Update;Elements;37
Reference;scale_samples;1;0;1;Update;ActiveSamples;8
Reference;scale_samples;1;0;2;Update;Elements;37
Reference;scale_samples;1;0;2;Update;ActiveSamples;8
Reference;scale_samples;1;0;3;Update;Elements;37
Reference;scale_samples;1;0;3;Update;ActiveSamples;8
Reference;scale_samples;1;0;4;Update;Elements;37
Reference;scale_samples;1;0;4;Update;ActiveSamples;8
Reference;scale_samples;1;0;5;Update;Elements;37
Reference;scale_samples;1;0;5;Update;ActiveSamples;8
Reference;scale_samples;1;0;6;Update;Elements;37
Reference;scale_samples;1;0;6;Update;ActiveSamples;8
Reference;scale_samples;1;0;7;Update;Elements;37
Reference;scale_samples;1;0;7;Update;ActiveSamples;8
Reference;scale_samples;1;0;8;Update;Elements;37
Reference;scale_samples;1;0;8;Update;ActiveSamples;8
Reference;scale_samples;2;0;0;Initialization;Time;273147700
Reference;scale_samples;2;0;0;Initialization;Memory;38043648
Reference;scale_samples;2;0;0;Load;Time;18147300
Reference;scale_samples;2;0;0;Load;Memory;38711296
Reference;scale_samples;2;0;0;Initial;Time;38738100
Reference;scale_samples;2;0;0;Initial;Memory;39256064
Reference;scale_samples;2;0;1;Update;Time;3652300
Reference;scale_samples;2;0;1;Update;Memory;39981056
Reference;scale_samples;2;0;2;Update;Time;347400
Reference;scale_samples;2;0;2;Update;Memory;39993344
Reference;scale_samples;2;0;3;Update;Time;238300
Reference;scale_samples;2;0;3;Update;Memory;39993344
Reference;scale_samples;2;0;4;Update;Time;21100
Reference;scale_samples;2;0;4;Update;Memory;39993344
Reference;scale_samples;2;0;5;Update;Time;47100
Reference;scale_samples;2;0;5;Update;Memory;39993344
Reference;scale_samples;2;0;6;Update;Time;45400
Reference;scale_samples;2;0;6;Update;Memory;39993344
Reference;scale_samples;2;0;7;Update;Time;47800
Reference;scale_samples;2;0;7;Update;Memory;40140800
Reference;scale_samples;2;0;8;Update;Time;20600
Reference;scale_samples;2;0;8;Update;Memory;40288256
Reference;scale_samples;2;0;0;Initial;Elements;64
Reference;scale_samples;2;0;0;Initial;ActiveSamples;16
Reference;scale_samples;2;0;1;Update;Elements;64
Reference;scale_samples;2;0;1;Update;ActiveSamples;16
Reference;scale_samples;2;0;2;Update;Elements;64
Reference;scale_samples;2;0;2;Update;ActiveSamples;16
Reference;scale_samples;2;0;3;Update;Elements;64
Reference;scale_samples;2;0;3;Update;ActiveSamples;16
Reference;scale_samples;2;0;4;Update;Elements;64
Reference;scale_samples;2;0;4;Update;ActiveSamples;16
Reference;scale_samples;2;0;5;Update;Elements;64
Reference;scale_samples;2;0;5;Update;ActiveSamples;16
Reference;scale_samples;2;0;6;Update;Elements;64
Reference;scale_samples;2;0;6;Update;ActiveSamples;16
Reference;scale_samples;2;0;7;Update;Elements;64
Reference;scale_samples;2;0;7;Update;ActiveSamples;16
Reference;scale_samples;2;0;8;Update;Elements;64
Reference;scale_samples;2;0;8;Update;ActiveSamples;16
Reference;scale_samples;4;0;0;Initialization;Time;249761700
Reference;scale_samples;4;0;0;Initialization;Memory;37974016
Reference;scale_samples;4;0;0;Load;Time;15841800
Reference;scale_samples;4;0;0;Load;Memory;38629376
Reference;scale_samples;4;0;0;Initial;Time;40607400
Reference;scale_samples;4;0;0;Initial;Memory;39190528
Reference;scale_samples;4;0;1;Update;Time;3713600
Reference;scale_samples;4;0;1;Update;Memory;39931904
Reference;scale_samples;4;0;2;Update;Time;400900
Reference;scale_samples;4;0;2;Update;Memory;39944192
Reference;scale_samples;4;0;3;Update;Time;237400
Reference;scale_samples;4;0;3;Update;Memory;39968768
Reference;scale_samples;4;0;4;Update;Time;72600
Reference;scale_samples;4;0;4;Update;Memory;40222720
Reference;scale_samples;4;0;5;Update;Time;51300
Reference;scale_samples;4;0;5;Update;Memory;40468480
Reference;scale_samples;4;0;6;Update;Time;30900
Reference;scale_samples;4;0;6;Update;Memory;40714240
Reference;scale_samples;4;0;7;Update;Time;73600
Reference;scale_samples;4;0;7;Update;Memory;40968192
Reference;scale_samples;4;0;8;Update;Time;47700
Reference;scale_samples;4;0;8;Update;Memory;41213952
Reference;scale_samples;4;0;0;Initial;Elements;119
Reference;scale_samples;4;0;0;Initial;ActiveSamples;32
Reference;scale_samples;4;0;1;Update;Elements;119
Reference;scale_samples;4;0;1;Update;ActiveSamples;32
Reference;scale_samples;4;0;2;Update;Elements;119
Reference;scale_samples;4;0;2;Update;ActiveSamples;32
Reference;scale_samples;4;0;3;Update;Elements;119
Reference;scale_samples;4;0;3;Update;ActiveSamples;32
Reference;scale_samples;4;0;4;Update;Elements;119
Reference;scale_samples;4;0;4;Update;ActiveSamples;32
Reference;scale_samples;4;0;5;Update;Elements;119
Reference;scale_samples;4;0;5;Update;ActiveSamples;32
Reference;scale_samples;4;0;6;Update;Elements;119
Reference;scale_samples;4;0;6;Update;ActiveSamples;32
Reference;scale_samples;4;0;7;Update;Elements;119
Reference;scale_samples;4;0;7;Update;ActiveSamples;32
Reference;scale_samples;4;0;8;Update;Elements;119
Reference;scale_samples;4;0;8;Update;ActiveSamples;32
Reference;scale_samples;8;0;0;Initialization;Time;250300300
Reference;scale_samples;8;0;0;Initialization;Memory;37924864
Reference;scale_samples;8;0;0;Load;Time;15915400
Reference;scale_samples;8;0;0;Load;Memory;38576128
Reference;scale_samples;8;0;0;Initial;Time;38487800
Reference;scale_samples;8;0;0;Initial;Memory;39149568
Reference;scale_samples;8;0;1;Update;Time;8110100
Reference;scale_samples;8;0;1;Update;Memory;40042496
Reference;scale_samples;8;0;2;Update;Time;556900
Reference;scale_samples;8;0;2;Update;Memory;40484864
Reference;scale_samples;8;0;3;Update;Time;305400
Reference;scale_samples;8;0;3;Update;Memory;40906752
Reference;scale_samples;8;0;4;Update;Time;84200
Reference;scale_samples;8;0;4;Update;Memory;41340928
Reference;scale_samples;8;0;5;Update;Time;57200
Reference;scale_samples;8;0;5;Update;Memory;41758720
Reference;scale_samples;8;0;6;Update;Time;39300
Reference;scale_samples;8;0;6;Update;Memory;42180608
Reference;scale_samples;8;0;7;Update;Time;76800
Reference;scale_samples;8;0;7;Update;Memory;42618880
Reference;scale_samples;8;0;8;Update;Time;18100
Reference;scale_samples;8;0;8;Update;Memory;43044864
Reference;scale_samples;8;0;0;Initial;Elements;229
Reference;scale_samples;8;0;0;Initial;ActiveSamples;64
Reference;scale_samples;8;0;1;Update;Elements;213
Reference;scale_samples;8;0;1;Update;ActiveSamples;56
Reference;scale_samples;8;0;2;Update;Elements;213
Reference;scale_samples;8;0;2;Update;ActiveSamples;56
Reference;scale_samples;8;0;3;Update;Elements;213
Reference;scale_samples;8;0;3;Update;ActiveSamples;56
Reference;scale_samples;8;0;4;Update;Elements;211
Reference;scale_samples;8;0;4;Update;ActiveSamples;54
Reference;scale_samples;8;0;5;Update;Elements;211
Reference;scale_samples;8;0;5;Update;ActiveSamples;54
Reference;scale_samples;8;0;6;Update;Elements;211
Reference;scale_samples;8;0;6;Update;ActiveSamples;54
Reference;scale_samples;8;0;7;Update;Elements;211
Reference;scale_samples;8;0;7;Update;ActiveSamples;51
Reference;scale_samples;8;0;8;Update;Elements;211
Reference;scale_samples;8;0;8;Update;ActiveSamples;51
Reference;scale_samples;16;0;0;Initialization;Time;243964500
Reference;scale_samples;16;0;0;Initialization;Memory;37965824
Reference;scale_samples;16;0;0;Load;Time;16304400
Reference;scale_samples;16;0;0;Load;Memory;38625280
Reference;scale_samples;16;0;0;Initial;Time;38446500
Reference;scale_samples;16;0;0;Initial;Memory;39747584
Reference;scale_samples;16;0;1;Update;Time;7472000
Reference;scale_samples;16;0;1;Update;Memory;41431040
Reference;scale_samples;16;0;2;Update;Time;368400
Reference;scale_samples;16;0;2;Update;Memory;42221568
Reference;scale_samples;16;0;3;Update;Time;243500
Reference;scale_samples;16;0;3;Update;Memory;42983424
Reference;scale_samples;16;0;4;Update;Time;75800
Reference;scale_samples;16;0;4;Update;Memory;43286528
Reference;scale_samples;16;0;5;Update;Time;41200
Reference;scale_samples;16;0;5;Update;Memory;43286528
Reference;scale_samples;16;0;6;Update;Time;26500
Reference;scale_samples;16;0;6;Update;Memory;43286528
Reference;scale_samples;16;0;7;Update;Time;92600
Reference;scale_samples;16;0;7;Update;Memory;43286528
Reference;scale_samples;16;0;8;Update;Time;70000
Reference;scale_samples;16;0;8;Update;Memory;43286528
Reference;scale_samples;16;0;9;Update;Time;17400
Reference;scale_samples;16;0;9;Update;Memory;43286528
Reference;scale_samples;16;0;0;Initial;Elements;455
Reference;scale_samples;16;0;0;Initial;ActiveSamples;128
Reference;scale_samples;16;0;1;Update;Elements;429
Reference;scale_samples;16;0;1;Update;ActiveSamples;115
Reference;scale_samples;16;0;2;Update;Elements;427
Reference;scale_samples;16;0;2;Update;ActiveSamples;114
Reference;scale_samples;16;0;3;Update;Elements;427
Reference;scale_samples;16;0;3;Update;ActiveSamples;114
Reference;scale_samples;16;0;4;Update;Elements;427
Reference;scale_samples;16;0;4;Update;ActiveSamples;114
Reference;scale_samples;16;0;5;Update;Elements;426
Reference;scale_samples;16;0;5;Update;ActiveSamples;113
Reference;scale_samples;16;0;6;Update;Elements;426
Reference;scale_samples;16;0;6;Update;ActiveSamples;113
Reference;scale_samples;16;0;7;Update;Elements;426
Reference;scale_samples;16;0;7;Update;ActiveSamples;110
Reference;scale_samples;16;0;8;Update;Elements;426
Reference;scale_samples;16;0;8;Update;ActiveSamples;108
Reference;scale_samples;16;0;9;Update;Elements;426
Reference;scale_samples;16;0;9;Update;ActiveSamples;108
Reference;scale_samples;32;0;0;Initialization;Time;238410400
Reference;scale_samples;32;0;0;Initialization;Memory;38043648
Reference;scale_samples;32;0;0;Load;Time;16723800
Reference;scale_samples;32;0;0;Load;Memory;38703104
Reference;scale_samples;32;0;0;Initial;Time;43184600
Reference;scale_samples;32;0;0;Initial;Memory;42323968
Reference;scale_samples;32;0;1;Update;Time;6760600
Reference;scale_samples;32;0;1;Update;Memory;43384832
Reference;scale_samples;32;0;2;Update;Time;374100
Reference;scale_samples;32;0;2;Update;Memory;43393024
Reference;scale_samples;32;0;3;Update;Time;333900
Reference;scale_samples;32;0;3;Update;Memory;43393024
Reference;scale_samples;32;0;4;Update;Time;227200
Reference;scale_samples;32;0;4;Update;Memory;44421120
Reference;scale_samples;32;0;5;Update;Time;146400
Reference;scale_samples;32;0;5;Update;Memory;44576768
Reference;scale_samples;32;0;6;Update;Time;82000
Reference;scale_samples;32;0;6;Update;Memory;44576768
Reference;scale_samples;32;0;7;Update;Time;123100
Reference;scale_samples;32;0;7;Update;Memory;42557440
Reference;scale_samples;32;0;8;Update;Time;70600
Reference;scale_samples;32;0;8;Update;Memory;42557440
Reference;scale_samples;32;0;9;Update;Time;95000
Reference;scale_samples;32;0;9;Update;Memory;42557440
Reference;scale_samples;32;0;10;Update;Time;30100
Reference;scale_samples;32;0;10;Update;Memory;42561536
Reference;scale_samples;32;0;0;Initial;Elements;901
Reference;scale_samples;32;0;0;Initial;ActiveSamples;256
Reference;scale_samples;32;0;1;Update;Elements;883
Reference;scale_samples;32;0;1;Update;ActiveSamples;247
Reference;scale_samples;32;0;2;Update;Elements;883
Reference;scale_samples;32;0;2;Update;ActiveSamples;247
Reference;scale_samples;32;0;3;Update;Elements;873
Reference;scale_samples;32;0;3;Update;ActiveSamples;242
Reference;scale_samples;32;0;4;Update;Elements;872
Reference;scale_samples;32;0;4;Update;ActiveSamples;241
Reference;scale_samples;32;0;5;Update;Elements;870
Reference;scale_samples;32;0;5;Update;ActiveSamples;239
Reference;scale_samples;32;0;6;Update;Elements;869
Reference;scale_samples;32;0;6;Update;ActiveSamples;238
